Nome,Capacidade,Latitude,Longitude,Equipe,Treinadores,Capitães,Primeira Divisão,Site Web
Maracanã,78838,-22.90981,-43.23391,Clube de Regatas do Flamengo,Jorge Sampaoli,Diego Ribas,True,https://www.flamengo.com.br/
Mané Garrincha,72000,-15.78375,-47.89903,Legião Futebol Clube,Bruno Lessa,,False,
 Morumbi,66795,-23.60006,-46.72016,São Paulo Futebol Clube,Dorival Junior,Diego Costa,True,https://saopaulofc.com.br/
Arena Castelão,63903,-3.80674,-38.52168,Ceará Sporting Club,Lucho González,Luiz Otávio,True,https://cearasc.com/
Mineirão,61927,-19.86591,-43.97104,Cruzeiro Esporte Clube,Pepa,,False,https://www.cruzeiro.com.br/
Arruda,60000,-8.02681,-34.89120,Santa Cruz Futebol Clube,Felipe Conceição ,Didira,True,https://www.santacruzpe.com.br/
Arena do Grêmio,55662,-29.97404,-51.19511,Grêmio Foot-Ball Porto Alegrense,Renato Gaúcho,Geromel,True,https://www.gremio.net/
Mangueirão,55645,-1.38114,-48.44483,Sport Club Belém,Marcelo Cabo,,False,
Beira Rio,50848,-30.06549,-51.23492,Sport Club Internacional,Mano Menezes,Rodrigo Dourado,True,https://www.internacional.com.br/
Neo Química Arena,48234,-23.54529,-46.47429,Sport Club Corinthians Paulista,Vanderlei Luxemburgo,Cássio,True,https://www.corinthians.com.br/
Arena Fonte Nova,48000,-12.97889,-38.50348,Esporte Clube Bahia,Renato Paiva,Conti,True,https://www.esporteclubebahia.com.br/
Parque do Sabiá,46782,-18.91309,-48.23299,Uberlândia Esporte Clube,Ito Roque,,False,https://www.uberlandiaec.com.br/
Arena Pernambuco,46000,-8.02681,-34.89120,Sport Club do Recife,Enderson Moreira,Chico,False,https://sportrecife.com.br/
Arena MRV,46000,-19.93001,-44.01388,Sport Club Atlético Mineiro,Eduardo Coudet,Réver,False,https://atletico.com.br/
Prudentão,45954,-22.09857,-51.41506,Presidente Prudente Futebol Clube,Ademir Fesan,,False,
Engenhão,45217,-22.89319,-43.29357,Botafogo de Futebol e Regatas,Luís Castro,Diego Loureiro,True,https://www.botafogo.com.br/
Albertão,44200,-5.11614,-42.79287,River Atlético Clube,Gerson Gusmão,,False,
Morenão,44200,-20.50143,-54.61022,Operário Futebol Clube,Rafael Guanaes,Marcelo,False,https://operarioferroviario.com.br/
Arena Pantanal,44097,-15.60406,-56.12230,Cuiabá Esporte Clube,Ivo Vieira,Uendel,True,https://cuiabaesporteclube.com.br/
Arena da Amazônia,44000,-3.08434,-60.02650,Manaus Futebol Clube,Higo Magalhães,,False,https://manausfc.com.br/